"","female_band","male_band","nest","site","nest_id","obs_date","observer","obs_method","nestling_age","nestling_number","obs_state","blind_camera_distance","obs_start_time","obs_end_time","obs_duration","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","tert_tot_visit","tert_tot_feed","tert_tot_time","tert_tot_brood","trial_temp","min_temp","max_temp","trial_humidity","wind_speed","wind_gust","cloud_cover","obs_max_temp","obs_avg_temp","obs_min_temp","obs_max_humid","obs_avg_humid","obs_min_humid","hours_low","hours_med","hours_high","hours_very_high","hours_in_day","devel_max_temp","devel_avg_temp","devel_min_temp","devel_max_humid","devel_avg_humid","devel_min_humid","devel_hours_low","devel_hours_med","devel_hours_high","devel_hours_very_high","devel_hours_in_stage","nest_max_temp","nest_avg_temp","nest_min_temp","nest_max_humid","nest_avg_humid","nest_min_humid","nest_hours_low","nest_hours_med","nest_hours_high","nest_hours_very_high","nest_hours_in_stage","avg_nestl_mass","avg_wing_chord","avg_nestl_growth","avg_wing_growth","brood_nos_mites","brood_mite_bin","notes_obs"
"74","2850-57722","2850-57724",46,"vanloon","vanloon 46",2021-07-05,"ZML","person",4,5,"early",3.05,"6:34","7:34",3606.146,15,8,4,7,3,4,7,5,2,3171.546,2448.672,583.585,2749.15,2344.278,265.583,2,1,1,2,16,16,31.2,72.3,0,0,"clear",17,16.5,16.1,76.3,75.3,74.2,6.25,6.75,7.25,3.75,24,32,21.7427872860636,14,86.4,64.2982885085575,40.4,36.5,28.75,21.75,15.25,102.25,37.7,23.8046491969569,14,86.4,55.0863905325444,22.2,72.25,82.5,62.5,78.5,295.75,5.448,11.1,5.448,11.1,0,"no","habituation start at 6:19, 7:06 change female to unknown, 7:09 change female to unknown, 7:12 owner outside barn, 7:24-7:25 landowner in barn"
"75","2850-57722","2850-57724",46,"vanloon","vanloon 46",2021-07-10,"ZML","person",9,5,"mid",3.05,"7:12","8:12",3581.959,30,12,16,26,10,15,21,19,2,1613.539,1427.127,177.163,189.349,189.349,0,3,3,1,1,18.2,18.1,35.9,63.2,0,0,"partly",19.1,18.925,18.6,68.4,67,65,0,5.75,8.75,9.5,24,37.7,25.34,16,78.2,50.9263829787234,22.2,15.5,34,28.75,39.25,117.5,37.7,23.8046491969569,14,86.4,55.0863905325444,22.2,72.25,82.5,62.5,78.5,295.75,14.028,35.5,8.58,24.4,0,"no","habituation start 6:55, 7:10-7:17 landowner in barn (birds unphased by 7:12), 7:38 erase GFN in between ""others"", 7:57  unknown is likely male"
"76","2850-57722","2850-57724",46,"vanloon","vanloon 46",2021-07-13,"ZML","person",12,5,"late",3.05,"6:30","7:30",3601.384,48,26,13,45,26,11,10,8,2,551.206,369.878,143.916,0,0,0,3,3,2,2,19.3,5.4,36,54.2,0,0,"partly",19.3,19.12,19,59.5,57.5,55,8.5,3.5,4,8,24,35.9,24.2049342105263,14.9,73.3,49.1243421052632,26.5,20.25,19.75,12,24,76,37.7,23.8046491969569,14,86.4,55.0863905325444,22.2,72.25,82.5,62.5,78.5,295.75,16.442,51.7,2.414,16.2,0,"no","Habituation start 6:18, 6:46 female GFN before male at nest perching "
"77","2850-57559","UNK",98,"schaaps","schaaps 98",2021-07-06,"APP","camera",3,2,"early",0.41,"6:40","7:40",3601.317,9,5,4,6,2,4,13,12,1,3088.276,2554.788,533.488,2707.186,2353.874,353.312,1,1,1,2,19.3,17.4,27.2,58.2,0,0,"",19.6,19.44,19.3,63.1,61.32,58.2,5.5,5.25,13.25,0,24,29.1,22.7198697068404,16.7,69,52.0778501628664,39,13.75,25.25,35,2.75,76.75,33.1,23.6120595144871,15.2,69.3,45.8961628817541,20.5,47.5,95.75,129,47,319.25,5.185,9.5,5.185,9.5,0,"no","camera start at 5:20"
"78","2850-57559","UNK",98,"schaaps","schaaps 98",2021-07-11,"APP","camera",8,2,"mid",0.41,"7:28","8:28",3607.373,18,7,11,13,5,8,8,8,0,1735.246,1291.684,443.562,774.41,774.41,0,2,2,1,1,17.4,17.1,29.3,52.4,0,0,"clear",18.7,18.125,17.6,54.2,53.725,53,0,9.25,10.5,4.25,24,33.1,25.2325630252101,18.1,69.3,42.3405462184874,20.5,5.75,33.25,48.25,31.75,119,33.1,23.6120595144871,15.2,69.3,45.8961628817541,20.5,47.5,95.75,129,47,319.25,12.33,35.5,7.145,26,0,"no","camera start at 7:15; great video for possible training"
"79","2850-57559","UNK",98,"schaaps","schaaps 98",2021-07-16,"APP","camera",13,2,"late",0.41,"6:21","7:21",3588.985,13,4,9,11,2,9,1,1,0,189.421,46.239,143.182,0,0,0,1,1,1,2,17,15.2,28.2,45.9,0,0,"partly",17.2,17.05,17,52.6,49.225,46.2,9,4.25,9.25,1.5,24,31.6,22.6050607287449,15.2,68.2,45.4805668016194,23.9,28,37.25,45.75,12.5,123.5,33.1,23.6120595144871,15.2,69.3,45.8961628817541,20.5,47.5,95.75,129,47,319.25,21.76,66.5,9.43,31,2,"yes","camera start at 4:45"
"80","2850-57709","2850-57852",2,"hoops","hoops 2",2021-07-07,"ZML","person",3,4,"early",4.88,"5:55","6:55",3600.342,31,16,15,16,3,13,25,25,0,3337.899,2831.498,506.401,2700.635,2459,241.635,3,3,2,2,16.6,16.3,27.8,74.4,0,0,"clear",17.3,16.775,16.3,75.2,74.925,74.6,2.25,10,11.75,0,24,35.1,23.7076923076923,16.6,74.8,53.4591715976331,29.6,5.25,14.5,18.25,4.25,42.25,35.1,23.1274831243973,13.4,76.8,50.4369334619094,21.2,57.5,71.75,88.5,41.5,259.25,3.5725,8.875,3.5725,8.875,0,"no",""
"81","2850-57709","2850-57852",2,"hoops","hoops 2",2021-07-13,"SAM","person",8,4,"mid",NA,"6:22","7:22",3609.91,34,11,23,30,7,23,7,4,3,1764.319,1322.078,442.241,1004.015,1004.015,0,3,3,1,2,19.2,14,30.4,48.6,0,0,"partly",18.8,18.64,18.4,57.6,53.58,49.8,9.5,3.75,4.5,6.25,24,34.4,24.0818024263432,14,76.8,46.2970537261698,21.2,27.25,35.75,44,37.25,144.25,35.1,23.1274831243973,13.4,76.8,50.4369334619094,21.2,57.5,71.75,88.5,41.5,259.25,16.435,36.5,12.8625,27.625,0,"no",""
"82","2850-57709","2850-57852",2,"hoops","hoops 2",2021-07-16,"ZML","person",12,4,"late",3.96,"6:40","7:40",3599.386,42,14,19,30,8,16,4,3,1,599.691,419.269,137.051,187.412,187.412,0,3,3,2,3,14.3,13.6,27,63.1,0,0,"partly",NA,NA,NA,NA,NA,NA,9.25,4.5,10.25,0,24,27,20.8982817869416,13.4,75.1,56.8903780068729,33.9,25,21.5,26.25,0,72.75,35.1,23.1274831243973,13.4,76.8,50.4369334619094,21.2,57.5,71.75,88.5,41.5,259.25,19.675,53.875,3.24,17.375,0,"no",""
"83","2850-57609","2850-57557",6,"cooks","cooks 6",2021-07-08,"MJA","person",4,4,"early",NA,"6:27","7:27",3558.035,2,2,0,11,11,0,10,10,0,NA,NA,NA,NA,NA,NA,1,2,NA,NA,19.1,18.9,31.1,56.7,2,3,"mostly",20.5,19.925,19.3,60,58.1,56.4,0,8,7.25,8.75,24,31.1,25.6935135135135,18.9,64.9,47.1232432432432,25.7,0.25,13.5,15.75,16.75,46.25,35,25.2884375,17.1,64.9,44.9867708333333,24.4,12,70,89.75,68.25,240,4.592,10.4,4.592,10.4,1,"yes","male was not seen during obs, 6:49 landowners walk in to feed horses; 3 nesling data sheets, but missing a parental care obs data sheet;  camera placed directly under nest? Made accurately scoring behavior difficult"
"84","2850-57609","2850-57557",6,"cooks","cooks 6",2021-07-16,"SAM","person",12,4,"late",2.44,"6:30","7:30",3578.863,62,25,37,60,25,35,6,2,4,731.993,224.598,507.395,0,0,0,3,3,2,2,18.5,17.1,28.8,51.6,0,0,"partly",19.3,18.875,18.5,51.2,50.125,49,6,4.75,10.75,2.5,24,28.8,23.1738410596026,17.1,63.8,50.3450331125828,35.6,8.75,29,33.25,4.5,75.5,35,25.2884375,17.1,64.9,44.9867708333333,24.4,12,70,89.75,68.25,240,17.3,50.125,4.4225,16.125,1,"yes","Habituation start at 6:10, no visits and no alarm calls by 6:30, no parents visit after a full hour in the blind. Other birds are feeding nestlings in the main aisle of the barn. Intermittent alarm calling far away outside, but none in barn since 10 minutes after entering the blind. "
"85","2850-57608","2850-57615",5,"urbanfarm","urbanfarm 5",2021-07-15,"APP","camera",9,4,"mid",0.97,"6:25","7:25",3632.506,8,4,4,3,2,1,9,8,1,3533.384,3153.872,379.512,3147.007,2957.222,189.785,1,1,3,3,12.4,12.4,31.2,75.7,NA,NA,"",15.2,13.875,12.7,82,78.825,76.8,8.75,4,9.25,2,24,38.7,24.3523316062176,12.7,74.7,47.570207253886,16.2,27.25,17.5,23,28.75,96.5,42.3,25.534534064213,12.4,82.6,45.095771339076,16.2,77.5,62.75,58,121,319.25,10.825,27,6.4475,16.375,0,"no",""
"86","2850-57608","2850-57615",5,"urbanfarm","urbanfarm 5",2021-07-19,"APP","camera",13,4,"late",0.97,"6:07","7:07",3754.576,39,10,10,37,8,10,0,0,0,849.465,87.93,256.982,0,0,0,3,3,2,2,16,15.4,40.7,63.2,0,0,"clear",17.4,16.5,16,66.9,64.6,63.6,6.75,3.25,3,11,24,40.7,25.5012820512821,12.4,82,43.0889743589744,17.6,28.5,15.5,14.5,39,97.5,42.3,25.534534064213,12.4,82.6,45.095771339076,16.2,77.5,62.75,58,121,319.25,13.8175,47.375,2.9925,20.375,0,"no","Could not reliably sex birds. Use total visitation rate only. "
"87","2850-57556","2850-57538",59,"schaaps","schaaps 59",2021-07-10,"APP","camera",4,4,"early",1.42,"6:52","7:52",3570.469,14,8,6,11,6,5,8,6,2,3232.935,1833.673,1399.262,2455.594,1582.08,873.514,1,2,2,1,20.7,20.7,32.8,51.7,0,0,"mostly",21.6,21.05,20.7,55.2,54.45,53.5,0,0,11.75,12.25,24,33,25.9636138613861,18.7,67.6,41.4920792079208,21.4,2,28.25,39.5,31.25,101,33,24.637890625,16,67.6,41.722421875,21.4,25,95,130.5,69.5,320,5.6225,11.375,5.6225,11.375,1,"yes","camera start 5:40"
"88","2850-57556","2850-57538",59,"schaaps","schaaps 59",2021-07-15,"APP","camera",9,4,"mid",1.02,"6:53","7:53",3574.066,24,12,12,23,11,12,18,17,1,1707.055,1338.757,368.298,250.976,44.604,206.372,3,3,1,1,16.1,16,25.1,60.9,NA,NA,"",17.2,16.775,16.3,64.2,63.35,62.2,2.25,13.5,8.25,0,24,30.7,23.7185416666667,17,63,42.9060416666667,23.8,13.25,37.5,53.75,15.5,120,33,24.637890625,16,67.6,41.722421875,21.4,25,95,130.5,69.5,320,14.8225,36.125,9.2,24.75,1,"yes",""
"89","2850-57556","2850-57538",59,"schaaps","schaaps 59",2021-07-19,"APP","camera",13,4,"late",1.02,"6:51","7:51",3593.304,39,22,17,38,21,17,15,14,1,1064.535,954.413,110.122,0,0,0,3,3,3,2,20.7,19,31.7,43.9,0,0,"clear",21.4,21,20.7,49,48,47,1.5,7.5,6.5,8.5,24,31.7,24.3997474747475,16,64.6,40.5227272727273,24,9.75,29.25,37.25,22.75,99,33,24.637890625,16,67.6,41.722421875,21.4,25,95,130.5,69.5,320,17.925,59.125,3.1025,23,33,"yes",""
"90","2850-57725","2850-57508",11,"hoops","hoops 11",2021-07-11,"ZML","person",3,4,"early",4.8,"8:00","9:00",3599.969,17,9,8,10,2,8,24,21,3,2964.904,1984.489,980.415,1940.953,1367.651,573.302,2,2,1,1,17.5,15.8,30.3,68.8,0,0,"clear",19,18.25,17.5,58.5,58.025,56.8,0,8.75,7.25,8,24,35.8,25.9540192926045,16.2,65.9,42.1951768488746,23.4,8,18,21.25,30.5,77.75,35.8,24.3578801843318,14.7,69.6,45.27133640553,21.1,48,69.75,79.25,74.25,271.25,2.985,8,2.985,8,0,"no",""
"91","2850-57725","2850-57508",11,"hoops","hoops 11",2021-07-16,"APP","person",8,4,"mid",4.8,"6:39","7:39",3574.497,11,4,7,7,3,4,11,11,0,3452.492,2943.056,509.436,2691.635,2691.635,0,2,1,3,3,15.6,14.7,29.1,56.9,0,0,"partly",16.9,16.2,15.7,63,60.475,59.3,9.25,2.75,8.75,3.25,24,32.7,22.9744282744283,14.7,69.6,49.3582120582121,25.5,28.75,33,40.25,18.25,120.25,35.8,24.3578801843318,14.7,69.6,45.27133640553,21.1,48,69.75,79.25,74.25,271.25,12.2625,28.625,9.2775,20.625,0,"no",""
"92","2850-57725","2850-57508",11,"hoops","hoops 11",2021-07-19,"ZML","person",11,4,"late",4.8,"6:15","7:15",3614.687,9,5,4,4,3,1,12,12,0,1673.577,1642.477,31.1,1252.717,1252.717,0,1,1,3,3,18.6,17.8,32.9,50.2,0,0,"clear",18.8,18.55,18.4,54.2,52.8,50.9,3,6.5,4.75,9.75,24,32.9,24.9348122866894,15.6,63,41.8273037542662,21.1,11.25,18.75,17.75,25.5,73.25,35.8,24.3578801843318,14.7,69.6,45.27133640553,21.1,48,69.75,79.25,74.25,271.25,15.785,45.625,3.5225,17,0,"no",""
