"","female_band","male_band","nest","site","nest_id","obs_date","observer","obs_method","nestling_age","nestling_number","obs_state","blind_camera_distance","obs_start_time","obs_end_time","obs_duration","total_visits","female_visits","male_visits","total_feeding_visits","female_feeding_visits","male_feeding_visits","total_sanitizing_visits","female_sanitizing_visits","male_sanitizing_visits","total_an_duration","female_an_duration","male_an_duration","total_brooding_duration","female_brooding_duration","male_brooding_duration","tert_tot_visit","tert_tot_feed","tert_tot_time","tert_tot_brood","trial_temp","min_temp","max_temp","trial_humidity","wind_speed","wind_gust","cloud_cover","obs_max_temp","obs_avg_temp","obs_min_temp","obs_max_humid","obs_avg_humid","obs_min_humid","hours_low","hours_med","hours_high","hours_very_high","hours_in_day","devel_max_temp","devel_avg_temp","devel_min_temp","devel_max_humid","devel_avg_humid","devel_min_humid","devel_hours_low","devel_hours_med","devel_hours_high","devel_hours_very_high","devel_hours_in_stage","nest_max_temp","nest_avg_temp","nest_min_temp","nest_max_humid","nest_avg_humid","nest_min_humid","nest_hours_low","nest_hours_med","nest_hours_high","nest_hours_very_high","nest_hours_in_stage","avg_nestl_mass","avg_wing_chord","avg_nestl_growth","avg_wing_growth","brood_nos_mites","brood_mite_bin","notes_obs"
"21","2850-57482","2850-57716",46,"grizz","grizz 46",2021-06-23,"ZML","person",12,1,"late",5.18,"6:08","7:08",3598.534,16,8,7,11,5,6,16,13,3,2302.613,997.149,694.107,303.254,151.795,151.459,1,1,3,3,16.1,12.6,35.3,45.5,0,0,"partly",17.1,16.45,16,50.7,48.075,46.3,7.75,3,3.25,10,24,33.6,23.1259541984733,12.6,67.9,42.4554707379135,23.5,28.75,22.75,23.5,23.25,98.25,39.2,25.6748344370861,12.6,67.9,38.1325449385052,15.5,54.25,54.5,54.5,101,264.25,18.83,56.5,4.61,24.5,0,"no","start habituation at 5:46; while tried to start obs at 6:00, could not differentiate parent IDs before 6:08...official start time should be 6:08; HOSP enters barn 2x"
"22","2850-57519","2850-57862",114,"grizz","grizz 114",2021-06-15,"ZML","person",3,3,"early",4.27,"6:05","7:05",3598.309,25,12,13,14,5,9,24,15,9,3500.418,2385.305,1115.113,2956.968,2142.621,814.347,3,2,3,3,15.9,15.9,36.9,48.7,1,3,"clear",19.4,17.8,16.4,51,48.95,47.8,5,3.75,4,11.25,24,36.7,25.0545454545455,10.4,66,40.8996753246753,22.2,22.75,11,11.25,32,77,39.9,25.3549534292972,10.4,68.2,38.4632514817951,15.1,67.75,59.25,58,110.25,295.25,3.71,9.33333333333333,3.71,9.33333333333333,0,"no","start habituation 5:50; 2 HOSP ~3m from nest at start of trial; "
"23","2850-57519","2850-57862",114,"grizz","grizz 114",2021-06-21,"HS4","camera",9,3,"mid",0.96,"6:15","7:15",3614.808,9,3,6,9,3,6,1,1,0,1233.99,978.326,255.664,927.446,927.446,0,1,2,1,1,14.7,14.6,32.5,66.1,0,0,"mostly",15.1,14.9,14.7,66.6,66.46,66.3,0.25,10.5,5.25,8,24,39.9,26.4928321678322,15.2,62.6,35.6183566433566,15.1,21.75,34.25,28.75,58.25,143,39.9,25.3549534292972,10.4,68.2,38.4632514817951,15.1,67.75,59.25,58,110.25,295.25,14.1633333333333,35.6666666666667,10.4533333333333,26.3333333333333,0,"no","start habituation 6:03"
"24","2850-57519","2850-57862",114,"grizz","grizz 114",2021-06-24,"ZML","person",12,3,"late",4.52,"6:00","7:00",3621.84,24,10,14,22,10,12,1,0,1,215.551,105.053,110.498,0,0,0,2,2,1,1,20.3,15.5,37,46.2,0,0,"mostly",20.2,20.06,19.9,49.1,47.88,46.6,7.75,1,5.25,10,24,36.9,23.5,11.8,68.2,41.3764119601329,17.1,23.25,14,18,20,75.25,39.9,25.3549534292972,10.4,68.2,38.4632514817951,15.1,67.75,59.25,58,110.25,295.25,16.9633333333333,52.3333333333333,2.8,16.6666666666667,0,"no","start habituation 5:48; HOSP enters barn 3x"
"25","2510-63484","2850-57710",11,"vanloon","vanloon 11",2021-06-17,"APP","camera",3,5,"early",0.93,"6:00","7:00",3612.219,20,11,9,20,10,10,15,13,2,3509.17,2530.749,978.421,2778.051,2116.506,661.545,3,3,3,2,21.2,17.9,34.4,39.5,0,0,"partly",21.3,21.08,20.7,44.2,42.32,39.5,2.5,5.25,6.5,9.75,24,34.8,25.7201986754967,17.3,67.5,42.5804635761589,17.3,10.25,19,17.5,28.75,75.5,34.8,23.4503810330229,14.5,74.8,46.2492802709568,17.3,62.75,95.75,75.25,61.5,295.25,2.806,7.9,2.806,7.9,8,"yes",""
"26","2510-63484","2850-57710",11,"vanloon","vanloon 11",2021-06-22,"APP","camera",8,5,"mid",0.97,"6:00","7:00",3595.307,9,6,3,6,2,4,13,10,3,3223.505,2927.081,296.424,2636.636,2600.547,36.089,1,1,3,3,16.4,14.5,22.6,55.1,0,0,"clear",17.2,16.84,16.4,60.8,56.8,55.1,14.25,9.75,0,0,24,34.1,22.8954451345756,14.5,67.9,46.0631469979296,21.2,25.75,43,33.25,18.75,120.75,34.8,23.4503810330229,14.5,74.8,46.2492802709568,17.3,62.75,95.75,75.25,61.5,295.25,11.724,25.8,8.918,17.9,11,"yes",""
"27","2510-63484","2850-57710",11,"vanloon","vanloon 11",2021-06-26,"APP","camera",12,5,"late",0.94,"6:00","7:00",3599.973,33,17,16,33,17,16,1,0,1,133.226,46.062,87.164,0,0,0,3,3,1,1,19.8,16.3,23.7,64.3,0,0,"mostly",19.9,19.64,19.3,64.6,64.14,63.7,9.75,12.75,1.5,0,24,30.9,22.3962121212121,14.8,74.8,49.2742424242424,19.5,26.75,33.75,24.5,14,99,34.8,23.4503810330229,14.5,74.8,46.2492802709568,17.3,62.75,95.75,75.25,61.5,295.25,17.596,48.5,5.872,22.7,59,"yes",""
"28","2350-21096","2850-57717",61,"grizz","grizz 61",2021-06-17,"MJA","person",3,4,"early",4.95,"6:06","7:06",2999.979,18,8,10,20,7,13,25,11,14,NA,NA,NA,NA,NA,NA,2,3,NA,NA,17.8,17.8,39.5,37,0,0,"partly",20.2,18.85,17.8,42.8,40.725,38.5,2.75,5.25,4,12,24,40.1,27.7398058252427,16,63.1,34.6611650485437,15.3,13,16.5,12.25,35.5,77.25,40.8,25.4428450465707,12.1,77,38.845300592718,15,67.25,66,57.25,104.75,295.25,3.2125,9,3.2125,9,0,"no",""
"29","2350-21096","2850-57717",61,"grizz","grizz 61",2021-06-22,"SAM","person",8,4,"mid",4.09,"6:06","7:06",3602.368,11,6,5,3,1,2,8,4,4,2774.523,2099.914,674.609,2219.536,1868.582,350.954,1,1,3,3,12.1,12,28.9,60.1,0,0,"clear",15.1,13.675,12.5,65.5,62.9,60.8,11.25,4.75,7,1,24,40.8,24.8559251559252,12.3,63.9,38.8149688149688,15,28.25,28.25,26.25,37.5,120.25,40.8,25.4428450465707,12.1,77,38.845300592718,15,67.25,66,57.25,104.75,295.25,12.7375,29,9.525,20,0,"no","habituation start at 5:51"
"30","2350-21096","2850-57717",61,"grizz","grizz 61",2021-06-26,"APP","person",12,4,"late",4.36,"6:13","7:13",3602.873,17,14,3,15,12,3,1,1,0,771.966,693.596,78.37,274.503,274.503,0,1,1,2,3,15.2,14.8,31.7,72.1,0,0,"mostly",18.1,16.475,15.3,77,74.9,72.7,8.75,8.5,3.5,3.25,24,37.8,24.3496163682864,12.1,77,42.1892583120205,17,26,21.25,18.75,31.75,97.75,40.8,25.4428450465707,12.1,77,38.845300592718,15,67.25,66,57.25,104.75,295.25,17.11,52.5,4.3725,23.5,0,"no","habituation start at 5:58"
