"","ymd_hms","temp_c","humid_perc","site","nest","Timestamp.for.sample.frequency.every.1.min.min","time","date","obs_date","obs_start_time","obs_end_time","HD","filter_last_day"
"85",2021-06-25 21:00:00,18.7,67.7,"bluecloud","17",NA,21H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"86",2021-06-25 21:15:00,18.7,67.4,"bluecloud","17",NA,21H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"87",2021-06-25 21:30:00,18.2,68,"bluecloud","17",NA,21H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"88",2021-06-25 21:45:00,18.1,67.2,"bluecloud","17",NA,21H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"89",2021-06-25 22:00:00,17.8,67.7,"bluecloud","17",NA,22H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"90",2021-06-25 22:15:00,17.7,67.3,"bluecloud","17",NA,22H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"91",2021-06-25 22:30:00,17.7,67.1,"bluecloud","17",NA,22H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"92",2021-06-25 22:45:00,17.7,67.1,"bluecloud","17",NA,22H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"93",2021-06-25 23:00:00,17.6,67.5,"bluecloud","17",NA,23H 0M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"94",2021-06-25 23:15:00,17.6,67.8,"bluecloud","17",NA,23H 15M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"95",2021-06-25 23:30:00,17.6,68.1,"bluecloud","17",NA,23H 30M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"96",2021-06-25 23:45:00,17.6,68.4,"bluecloud","17",NA,23H 45M 0S,2021-06-25,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"97",2021-06-26 00:00:00,17.5,68.5,"bluecloud","17",NA,0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"98",2021-06-26 00:15:00,17.5,68.3,"bluecloud","17",NA,15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"99",2021-06-26 00:30:00,17.3,68.2,"bluecloud","17",NA,30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"100",2021-06-26 00:45:00,17.2,67.8,"bluecloud","17",NA,45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"101",2021-06-26 01:00:00,17.1,67.7,"bluecloud","17",NA,1H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"102",2021-06-26 01:15:00,17,67.5,"bluecloud","17",NA,1H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"103",2021-06-26 01:30:00,16.9,67.5,"bluecloud","17",NA,1H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"104",2021-06-26 01:45:00,16.7,68.2,"bluecloud","17",NA,1H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"105",2021-06-26 02:00:00,16.5,69.4,"bluecloud","17",NA,2H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"106",2021-06-26 02:15:00,16.2,70.4,"bluecloud","17",NA,2H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"107",2021-06-26 02:30:00,15.9,71.2,"bluecloud","17",NA,2H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"108",2021-06-26 02:45:00,15.7,71.9,"bluecloud","17",NA,2H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"109",2021-06-26 03:00:00,15.6,72.4,"bluecloud","17",NA,3H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"110",2021-06-26 03:15:00,15.6,72.4,"bluecloud","17",NA,3H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"111",2021-06-26 03:30:00,15.6,72.1,"bluecloud","17",NA,3H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"112",2021-06-26 03:45:00,15.7,71.5,"bluecloud","17",NA,3H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"113",2021-06-26 04:00:00,15.7,71.5,"bluecloud","17",NA,4H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"114",2021-06-26 04:15:00,15.6,71.6,"bluecloud","17",NA,4H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"115",2021-06-26 04:30:00,15.7,71.4,"bluecloud","17",NA,4H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"116",2021-06-26 04:45:00,15.7,71.3,"bluecloud","17",NA,4H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"117",2021-06-26 05:00:00,15.7,70.9,"bluecloud","17",NA,5H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"118",2021-06-26 05:15:00,15.6,70.9,"bluecloud","17",NA,5H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"119",2021-06-26 05:30:00,15.5,70.9,"bluecloud","17",NA,5H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"120",2021-06-26 05:45:00,15.4,71.2,"bluecloud","17",NA,5H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"121",2021-06-26 06:00:00,15.4,71.3,"bluecloud","17",NA,6H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"122",2021-06-26 06:15:00,15.5,71.2,"bluecloud","17",NA,6H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"123",2021-06-26 06:30:00,15.8,70.9,"bluecloud","17",NA,6H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"124",2021-06-26 06:45:00,16.2,71,"bluecloud","17",NA,6H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"125",2021-06-26 07:00:00,17.2,71.1,"bluecloud","17",NA,7H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"126",2021-06-26 07:15:00,18.3,70,"bluecloud","17",NA,7H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"127",2021-06-26 07:30:00,19.1,68.6,"bluecloud","17",NA,7H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"128",2021-06-26 07:45:00,19.6,61.4,"bluecloud","17",NA,7H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"129",2021-06-26 08:00:00,20.2,60.9,"bluecloud","17",NA,8H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"130",2021-06-26 08:15:00,20.7,58.7,"bluecloud","17",NA,8H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"131",2021-06-26 08:30:00,21.3,57,"bluecloud","17",NA,8H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"132",2021-06-26 08:45:00,21.5,54.5,"bluecloud","17",NA,8H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"133",2021-06-26 09:00:00,21.9,53,"bluecloud","17",NA,9H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"134",2021-06-26 09:15:00,22.1,53.5,"bluecloud","17",NA,9H 15M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"135",2021-06-26 09:30:00,21.8,50.6,"bluecloud","17",NA,9H 30M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"136",2021-06-26 09:45:00,21.9,52.1,"bluecloud","17",NA,9H 45M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
"137",2021-06-26 10:00:00,22.4,50.4,"bluecloud","17",NA,10H 0M 0S,2021-06-26,2021-07-07,5H 45M 0S,6H 45M 0S,2021-06-25,"N"
