,female_band,male_band,nest,site,obs_date,observer,obs_method,nestling_number,nestling_age,blind_camera_distance,obs_start_time,obs_end_time,trial_temp,min_temp,max_temp,trial_humidity,wind_speed,wind_gust,cloud_cover,notes,total_visits,female_visits,male_visits,total_feeding_visits,female_feeding_visits,male_feeding_visits,total_an_duration,female_an_duration,male_an_duration,total_brooding_duration,female_brooding_duration,male_brooding_duration
38,2850-57715,2850-57859,140,grizz,6/29/2021,MJA,person,2,12,3.25,5:55,6:55,13.4,13.4,27.7,63.6,0,0,partly,HOFI visits nearby nest 11 times; all birds alarm calling outside for several minutes due to suspected predator though predator sighting never confirmed,11.99689081,4.998704502,6.998186303,17.99533621,4.998704502,12.99663171,NA,NA,NA,NA,NA,633.87772
39,2850-57863,2850-57714,151,grizz,6/22/2021,ZML,person,5,3,4.34,6:06,7:06,12.3,12.2,28.3,62,0,0,clear,,16.93600542,8.966120517,7.969884904,12.95106297,4.981178065,7.969884904,3442.556916,2571.842009,870.714907,2909.777084,2279.972869,629.8042148
40,2850-57863,2850-57714,151,grizz,6/28/2021,ZML,person,5,9,4.88,6:20,7:20,14.7,14,28.2,69.2,0,0,mostly,,21.96434455,10.98217227,8.985413678,21.96434455,10.98217227,8.985413678,399.3507207,304.8970505,79.90329033,90.5380266,90.5380266,0
41,2850-57863,2850-57714,151,grizz,7/1/2021,ZML,person,5,12,5.18,6:26,7:26,18.4,13.8,32,73.1,0,0,mostly,,41.85062813,23.91464465,15.94309643,36.8684105,22.91820112,11.95732232,NA,NA,309.9298089,0,0,0
42,UNB,UNB,131.2,schaaps,6/23/2021,APP,camera,4,3,0.72,5:59,6:59,16.8,10.5,36.7,42.4,3,5,mostly,Sexing not reliable. Use total visitation rate. ,18.03559525,9.017797626,9.017797626,14.0276852,7.013842598,7.013842598,3565.700306,2870.797839,694.9024672,2846.149192,2437.915497,408.2336946
43,UNB,UNB,131.2,schaaps,7/2/2021,SAM,camera,4,12,0.711,6:15,7:15,13.9,13.3,31.5,83.5,0,0, mostly,Sexing not reliable. Use total visitation rate. ,24.98122245,10.99173788,5.995493387,23.98197355,9.992488979,5.995493387,132.2845661,87.02558577,18.76089806,0,0,0
44,2850-57611,2850-57606,71,schaaps,6/23/2021,APP,person,4,3,4.2164,5:57,6:57,18.3,13,37.2,36.8,3,5,mostly,,15.97814545,8.987706814,5.991804543,5.991804543,2.995902271,2.995902271,3228.407256,2790.630038,239.3855737,2449.818193,2285.352146,0
45,2850-57611,2850-57606,71,schaaps,6/28/2021,APP,camera,4,8,0.965,6:16,7:16,14.8,14.7,31.9,61,0,0,mostly,,4.871983227,2.923189936,1.948793291,3.897586582,1.948793291,1.948793291,2667.880476,2373.740335,294.140141,2063.241049,2063.241049,0
46,2850-57611,2850-57606,71,schaaps,7/2/2021,SAM,camera,4,12,0.813,6:22,7:22,15.2,15.1,32.1,70.7,0,0,mostly,,19.87414696,6.955951438,12.91819553,17.88673227,6.955951438,10.93078083,444.831107,364.4769497,80.3541573,0,0,0
47,2850-57561,2850-57563,74,schaaps,6/23/2021,APP,person,4,3,1.98,5:57,6:57,19,14,30.3,37.8,3,5,mostly,not possible to score away from nest modifiers,23.90104304,9.958767934,13.94227511,16.92990549,6.971137554,9.958767934,3279.056794,2376.841217,902.2155769,2134.684812,1786.570104,348.1147084
